,InvoiceNo,StockCode,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
77628,542776,21671,48,2011-02-01 08:23:00,1.25,15240.0,United Kingdom
77629,542776,21668,12,2011-02-01 08:23:00,1.25,15240.0,United Kingdom
77630,542776,21670,12,2011-02-01 08:23:00,1.25,15240.0,United Kingdom
77631,542776,17013D,96,2011-02-01 08:23:00,0.42,15240.0,United Kingdom
77632,542776,17096,48,2011-02-01 08:23:00,0.21,15240.0,United Kingdom
77633,542776,22469,12,2011-02-01 08:23:00,1.65,15240.0,United Kingdom
77634,542776,22077,12,2011-02-01 08:23:00,1.65,15240.0,United Kingdom
77635,542776,79321,4,2011-02-01 08:23:00,4.95,15240.0,United Kingdom
77636,542776,21843,1,2011-02-01 08:23:00,10.95,15240.0,United Kingdom
77637,542776,22835,4,2011-02-01 08:23:00,4.65,15240.0,United Kingdom
77638,542776,22083,12,2011-02-01 08:23:00,2.95,15240.0,United Kingdom
77639,542776,17021,36,2011-02-01 08:23:00,0.3,15240.0,United Kingdom
77640,542776,21218,6,2011-02-01 08:23:00,3.75,15240.0,United Kingdom
77641,542776,21485,3,2011-02-01 08:23:00,4.95,15240.0,United Kingdom
77642,542777,22374,4,2011-02-01 08:31:00,4.25,14911.0,EIRE
77643,542777,22371,4,2011-02-01 08:31:00,4.25,14911.0,EIRE
77644,542777,20654,12,2011-02-01 08:31:00,1.25,14911.0,EIRE
77645,542777,20658,12,2011-02-01 08:31:00,1.25,14911.0,EIRE
77646,542777,85039A,12,2011-02-01 08:31:00,1.65,14911.0,EIRE
77647,542777,85040A,12,2011-02-01 08:31:00,1.65,14911.0,EIRE
77648,542777,48129,2,2011-02-01 08:31:00,7.95,14911.0,EIRE
77649,542777,48116,2,2011-02-01 08:31:00,7.95,14911.0,EIRE
77650,542777,48194,2,2011-02-01 08:31:00,7.95,14911.0,EIRE
77651,542777,22431,6,2011-02-01 08:31:00,1.95,14911.0,EIRE
77652,542777,22433,6,2011-02-01 08:31:00,1.95,14911.0,EIRE
77653,542777,21257,2,2011-02-01 08:31:00,7.95,14911.0,EIRE
77654,542777,21259,2,2011-02-01 08:31:00,5.95,14911.0,EIRE
77655,542777,21181,12,2011-02-01 08:31:00,2.1,14911.0,EIRE
77656,542777,21166,12,2011-02-01 08:31:00,1.95,14911.0,EIRE
77657,542777,22413,6,2011-02-01 08:31:00,2.95,14911.0,EIRE
77658,542777,21411,3,2011-02-01 08:31:00,4.25,14911.0,EIRE
